date,val
14-07-15,89.68
15-07-15,89.76
16-07-15,90.85
17-07-15,94.97
20-07-15,97.91
21-07-15,98.39
22-07-15,97.04
23-07-15,95.44
24-07-15,96.95
27-07-15,94.17
28-07-15,95.29
29-07-15,96.99
30-07-15,95.21
31-07-15,94.01
03-08-15,94.14
04-08-15,94.06
05-08-15,96.44
06-08-15,95.12
07-08-15,94.3
10-08-15,94.15
11-08-15,93.62
12-08-15,94.19
13-08-15,93.43
14-08-15,94.42
17-08-15,93.93
18-08-15,95.17
19-08-15,95.31
20-08-15,90.56
21-08-15,86.06
24-08-15,82.09
25-08-15,83
26-08-15,87.19
27-08-15,89.73
28-08-15,91.01
31-08-15,89.43
01-09-15,87.23
02-09-15,89.89
03-09-15,88.15
04-09-15,88.26
08-09-15,89.53
09-09-15,90.44
10-09-15,91.98
11-09-15,92.05
14-09-15,92.31
15-09-15,92.9
16-09-15,93.45
17-09-15,94.34
18-09-15,94.4
21-09-15,95.55
22-09-15,92.96
23-09-15,93.97
24-09-15,94.41
25-09-15,92.77
28-09-15,89.21
29-09-15,86.67
30-09-15,89.9
01-10-15,90.95
02-10-15,92.07
05-10-15,94.01
06-10-15,92.8
07-10-15,92.4
08-10-15,92.47
09-10-15,93.24
12-10-15,94.26
13-10-15,94.12
14-10-15,94.07
15-10-15,95.96
16-10-15,97.54
19-10-15,98.47
20-10-15,97
21-10-15,97.11
22-10-15,99.67
23-10-15,102.19
26-10-15,103.77
27-10-15,103.7
28-10-15,104.2
29-10-15,104.88
30-10-15,101.97
02-11-15,103.31
03-11-15,102.58
04-11-15,103.94
05-11-15,108.76
06-11-15,107.1
09-11-15,106.49
10-11-15,107.91
11-11-15,109.01
12-11-15,108.02
13-11-15,103.95
16-11-15,104.04
17-11-15,105.13
18-11-15,107.77
19-11-15,106.26
20-11-15,107.32
23-11-15,106.95
24-11-15,105.74
25-11-15,105.41
27-11-15,105.45
30-11-15,104.24
01-12-15,107.12
02-12-15,106.07
03-12-15,104.38
04-12-15,106.18
07-12-15,105.61
08-12-15,106.49
09-12-15,104.6
10-12-15,105.42
11-12-15,102.12
14-12-15,104.66
15-12-15,104.55
16-12-15,106.79
17-12-15,106.22
18-12-15,104.04
21-12-15,104.77
22-12-15,105.51
23-12-15,104.63
24-12-15,105.02
28-12-15,105.93
29-12-15,107.26
30-12-15,106.22
31-12-15,104.66
04-01-16,102.22
05-01-16,102.73
06-01-16,102.97
07-01-16,97.92
08-01-16,97.33
11-01-16,97.51
12-01-16,99.37
13-01-16,95.44
14-01-16,98.37
15-01-16,94.97
19-01-16,95.26
20-01-16,94.35
21-01-16,94.16
22-01-16,97.94
25-01-16,97.01
26-01-16,97.34
27-01-16,94.45
28-01-16,109.11
29-01-16,112.21
01-02-16,115.09
02-02-16,114.61
03-02-16,112.69
04-02-16,110.49
05-02-16,104.07
08-02-16,99.75
09-02-16,99.54
10-02-16,101
11-02-16,101.91
12-02-16,102.01
16-02-16,101.61
17-02-16,105.2
18-02-16,103.47
19-02-16,104.57
22-02-16,107.16
23-02-16,105.46
24-02-16,106.88
25-02-16,108.07
26-02-16,107.92
29-02-16,106.92
01-03-16,109.82
02-03-16,109.95
03-03-16,109.58
04-03-16,108.39
07-03-16,105.73
08-03-16,105.93
09-03-16,107.51
10-03-16,107.32
11-03-16,109.41
14-03-16,109.89
15-03-16,110.67
16-03-16,112.18
17-03-16,111.02
18-03-16,111.45
21-03-16,111.85
22-03-16,112.25
23-03-16,112.54
24-03-16,113.05
28-03-16,113.69
29-03-16,116.14
30-03-16,114.7
31-03-16,114.1
01-04-16,116.06
04-04-16,112.55
05-04-16,112.22
06-04-16,113.71
07-04-16,113.64
08-04-16,110.63
11-04-16,108.99
12-04-16,110.61
13-04-16,110.51
14-04-16,110.84
15-04-16,109.64
18-04-16,110.45
19-04-16,112.29
20-04-16,112.42
21-04-16,113.44
22-04-16,110.56
25-04-16,110.1
26-04-16,108.76
27-04-16,108.89
28-04-16,116.73
29-04-16,117.58
02-05-16,118.57
03-05-16,117.43
04-05-16,118.06
05-05-16,117.81
06-05-16,119.49
09-05-16,119.24
10-05-16,120.5
11-05-16,119.52
12-05-16,120.28
13-05-16,119.81
16-05-16,118.67
17-05-16,117.35
18-05-16,117.65
19-05-16,116.81
20-05-16,117.35
23-05-16,115.97
24-05-16,117.7
25-05-16,117.89
26-05-16,119.47
27-05-16,119.38
31-05-16,118.81
01-06-16,118.78
02-06-16,118.93
03-06-16,118.47
06-06-16,118.79
